Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
591;23,6;4,12;6,55;
592;23,64;4,37;6,4;
593;23,68;4,52;6,28;
594;23,72;4,65;6,18;
595;23,76;4,74;6,15;
596;23,8;4,74;6,15;
597;23,84;4,61;6,21;
598;23,88;4,49;6,28;
599;23,92;4,31;6,4;
600;23,96;4,06;6,55;
601;24;3,51;6,89;
602;24,04;3,14;7,08;
603;24,08;2,71;7,2;
604;24,12;2,22;7,35;
605;24,16;1,23;7,57;
606;24,2;0,74;7,63;
607;24,24;0,18;7,63;
608;24,28;-0,34;7,6;
609;24,32;-0,86;7,54;
610;24,36;-1,35;7,45;
611;24,4;-2,28;7,14;
612;24,44;-2,68;6,98;
613;24,48;-3,02;6,83;
614;24,52;-3,57;6,49;
615;24,56;-3,75;6,37;
616;24,6;-3,91;6,28;
617;24,64;-4,03;6,15;
618;24,68;-4,12;6,12;
619;24,72;-4,12;6,12;
620;24,76;-4;6,21;
621;24,8;-3,88;6,31;
622;24,84;-3,72;6,4;
623;24,88;-3,51;6,55;
624;24,92;-3,26;6,71;
625;24,96;-2,95;6,86;
626;25;-2,18;7,2;
627;25,04;-1,78;7,32;
628;25,08;-1,29;7,45;
629;25,12;-0,83;7,54;
630;25,16;-0,34;7,63;
631;25,2;0,71;7,63;
632;25,24;1,2;7,57;
633;25,28;1,69;7,48;
634;25,32;2,18;7,38;
635;25,36;2,62;7,26;
636;25,4;3,35;6,95;
637;25,44;3,66;6,77;
638;25,48;3,94;6,65;
639;25,52;4,12;6,52;
640;25,56;4,31;6,46;
641;25,6;4,43;6,37;
642;25,64;4,49;6,34;
643;25,68;4,43;6,34;
644;25,72;4,37;6,4;
645;25,76;4,21;6,52;
646;25,8;4,06;6,58;
647;25,84;3,81;6,71;
648;25,88;3,23;7,01;
649;25,92;2,86;7,17;
650;25,96;2;7,45;
651;26;1,57;7,51;
652;26,04;1,05;7,6;
653;26,08;0,62;7,63;
654;26,12;0,09;7,63;
655;26,16;-0,89;7,51;
656;26,2;-1,35;7,45;
657;26,24;-1,78;7,32;
658;26,28;-2,18;7,2;
659;26,32;-2,55;7,05;
660;26,36;-3,14;6,77;
661;26,4;-3,38;6,65;
662;26,44;-3,57;6,52;
663;26,48;-3,69;6,46;
664;26,52;-3,81;6,37;
665;26,56;-3,85;6,34;
666;26,6;-3,81;6,34;
667;26,64;-3,69;6,43;
668;26,68;-3,57;6,52;
669;26,72;-3,41;6,58;
670;26,76;-3,2;6,71;
671;26,8;-2,95;6,89;
672;26,84;-2,28;7,14;
673;26,88;-1,94;7,29;
674;26,92;-1,54;7,38;
675;26,96;-1,08;7,51;
676;27;-0,65;7,57;
677;27,04;0,31;7,63;
678;27,08;0,8;7,63;
679;27,12;1,26;7,57;
680;27,16;1,72;7,51;
681;27,2;2,12;7,38;
682;27,24;2,92;7,14;
683;27,28;3,23;7,01;
684;27,32;3,51;6,89;
685;27,36;3,75;6,77;
686;27,4;3,94;6,68;
687;27,44;4,15;6,52;
688;27,48;4,18;6,52;
689;27,52;4,18;6,52;
690;27,56;4,15;6,52;
691;27,6;4,06;6,58;
692;27,64;3,94;6,68;
693;27,68;3,54;6,89;
694;27,72;3,26;7,01;
695;27,76;2,92;7,14;
696;27,8;2,62;7,26;
697;27,84;2,18;7,38;
698;27,88;1,35;7,57;
699;27,92;0,92;7,6;
700;27,96;0,43;7,63;
701;28;0;7,63;
702;28,04;-0,46;7,57;
703;28,08;-1,35;7,45;
704;28,12;-1,72;7,32;
705;28,16;-2,09;7,23;
706;28,2;-2,4;7,11;
707;28,24;-2,71;6,98;
708;28,28;-2,95;6,83;
709;28,32;-3,32;6,65;
710;28,36;-3,48;6,58;
711;28,4;-3,51;6,52;
712;28,44;-3,57;6,52;
713;28,48;-3,51;6,55;
714;28,52;-3,41;6,58;
715;28,56;-3,29;6,68;
716;28,6;-3,11;6,77;
717;28,64;-2,89;6,89;
718;28,68;-2,34;7,14;
719;28,72;-2,03;7,26;
720;28,76;-1,66;7,35;
721;28,8;-1,29;7,48;
722;28,84;-0,86;7,51;
723;28,88;0;7,63;
724;28,92;0,43;7,63;
725;28,96;0,86;7,63;
726;29;1,29;7,57;
727;29,04;1,72;7,51;
728;29,08;2,12;7,38;
729;29,12;2,46;7,32;
730;29,16;3,11;7,08;
731;29,2;3,35;6,95;
732;29,24;3,54;6,86;
733;29,28;3,72;6,8;
734;29,32;3,85;6,74;
735;29,36;3,94;6,71;
736;29,4;3,91;6,68;
737;29,44;3,88;6,71;
738;29,48;3,63;6,83;
739;29,52;3,45;6,89;
740;29,56;3,23;7,01;
741;29,6;2,95;7,14;
742;29,64;2,65;7,26;
743;29,68;1,94;7,45;
744;29,72;1,57;7,51;
745;29,76;1,17;7,6;
746;29,8;0,74;7,63;
747;29,84;0,31;7,63;
748;29,88;-0,12;7,63;
749;29,92;-0,92;7,54;
750;29,96;-1,32;7,48;
751;30;-1,66;7,32;
752;30,04;-2;7,26;
753;30,08;-2,31;7,14;
754;30,12;-2,55;7,08;
755;30,16;-2,95;6,83;
756;30,2;-3,11;6,77;
757;30,24;-3,2;6,71;
758;30,28;-3,26;6,68;
759;30,32;-3,29;6,68;
760;30,36;-3,26;6,68;
761;30,4;-3,14;6,77;
762;30,44;-2,95;6,83;
763;30,48;-2,8;6,95;
764;30,52;-2,58;7,05;
765;30,56;-2,37;7,14;
766;30,6;-1,75;7,32;
767;30,64;-1,42;7,45;
768;30,68;-1,05;7,51;
769;30,72;-0,65;7,57;
770;30,76;-0,25;7,63;
771;30,8;0,55;7,63;
772;30,84;0,98;7,6;
773;30,88;1,35;7,57;
774;30,92;1,72;7,51;
775;30,96;2,4;7,32;
776;31;2,71;7,23;
777;31,04;2,95;7,14;
778;31,08;3,17;7,05;
779;31,12;3,51;6,89;
780;31,16;3,6;6,83;
781;31,2;3,66;6,83;
782;31,24;3,66;6,83;
783;31,28;3,63;6,83;
784;31,32;3,45;6,92;
785;31,36;3,32;6,95;
786;31,4;3,14;7,08;
787;31,44;2,92;7,14;
788;31,48;2,68;7,26;
789;31,52;2,37;7,32;
790;31,56;1,69;7,51;
791;31,6;1,35;7,57;
792;31,64;0,98;7,57;
793;31,68;0,55;7,63;
794;31,72;0,18;7,63;
795;31,76;-0,25;7,63;
796;31,8;-0,58;7,57;
797;31,84;-1,29;7,45;
798;31,88;-1,63;7,38;
799;31,92;-1,94;7,26;
800;31,96;-2,22;7,2;
801;32;-2,65;7,01;
802;32,04;-2,77;6,95;
803;32,08;-2,89;6,89;
804;32,12;-2,98;6,83;
805;32,16;-3,02;6,8;
806;32,2;-3,05;6,83;
807;32,24;-3,02;6,83;
808;32,28;-2,95;6,89;
809;32,32;-2,71;6,95;
810;32,36;-2,31;7,14;
811;32,4;-2,09;7,26;
812;32,44;-1,82;7,32;
813;32,48;-1,48;7,38;
814;32,52;-1,17;7,45;
815;32,56;-0,49;7,6;
816;32,6;-0,09;7,63;
817;32,64;0,28;7,63;
818;32,68;0,68;7,63;
819;32,72;1,05;7,57;
820;32,76;1,35;7,57;
821;32,8;2,03;7,41;
822;32,84;2,34;7,35;
823;32,88;2,62;7,26;
824;32,92;2,83;7,2;
825;32,96;3,17;7,05;
826;33;3,32;6,98;
827;33,04;3,38;6,95;
828;33,08;3,41;6,95;
829;33,12;3,41;6,95;
830;33,16;3,38;6,95;
831;33,2;3,2;7,08;
832;33,24;3,05;7,11;
833;33,28;2,86;7,17;
834;33,32;2,65;7,26;
835;33,36;2,4;7,32;
836;33,4;1,78;7,48;
837;33,44;1,48;7,54;
838;33,48;1,14;7,57;
839;33,52;0,8;7,63;
840;33,56;0,43;7,66;
841;33,6;0,09;7,63;
842;33,64;-0,62;7,6;
843;33,68;-0,98;7,54;
844;33,72;-1,29;7,48;
845;33,76;-1,57;7,38;
846;33,8;-1,85;7,32;
847;33,84;-2,09;7,23;
848;33,88;-2,46;7,08;
849;33,92;-2,62;7,05;
850;33,96;-2,71;7,01;
851;34;-2,77;6,95;
852;34,04;-2,8;6,95;
853;34,08;-2,77;6,95;
854;34,12;-2,68;6,98;
855;34,16;-2,58;7,08;
856;34,2;-2,43;7,11;
857;34,24;-2,28;7,17;
858;34,28;-1,82;7,32;
859;34,32;-1,57;7,38;
860;34,36;-1,26;7,48;
861;34,4;-0,95;7,54;
862;34,44;-0,62;7,57;
863;34,48;-0,31;7,63;
864;34,52;0,4;7,63;
865;34,56;0,74;7,63;
866;34,6;1,08;7,6;
867;34,64;1,42;7,57;
868;34,68;1,72;7,51;
869;34,72;2,25;7,38;
870;34,76;2,49;7,29;
871;34,8;2,68;7,23;
872;34,84;2,86;7,17;
873;34,88;2,98;7,11;
874;34,92;3,17;7,05;
875;34,96;3,17;7,08;
876;35;3,17;7,08;
877;35,04;3,11;7,08;
878;35,08;3,05;7,14;
879;35,12;2,77;7,2;
880;35,16;2,58;7,26;
881;35,2;2,37;7,32;
882;35,24;2,15;7,38;
883;35,28;1,88;7,45;
884;35,32;1,6;7,51;
885;35,36;1,29;7,57;
886;35,4;0,62;7,63;
887;35,44;0,31;7,63;
888;35,48;-0,03;7,66;
889;35,52;-0,34;7,63;
890;35,56;-0,68;7,57;
891;35,6;-1,26;7,45;
892;35,64;-1,54;7,41;
893;35,68;-1,75;7,32;
894;35,72;-2;7,26;
895;35,76;-2,15;7,23;
896;35,8;-2,4;7,11;
897;35,84;-2,49;7,08;
898;35,88;-2,52;7,08;
899;35,92;-2,58;7,05;
900;35,96;-2,55;7,08;
901;36;-2,4;7,11;
902;36,04;-2,31;7,14;
903;36,08;-2,18;7,2;
